model,threshold_db,score_threshold,kept_tracks,kept_true_tracks,kept_false_tracks,true_track_retention,false_track_retention,false_track_reduction,precision_after
tcn_ae,9.0,0.3,13368,13368,0,0.9703832752613241,,,1.0
tcn_ae,9.0,0.4,13252,13252,0,0.9619628339140535,,,1.0
tcn_ae,9.0,0.5,13067,13067,0,0.9485336817653891,,,1.0
tcn_ae,9.0,0.6,12809,12809,0,0.9298054587688734,,,1.0
tcn_ae,9.0,0.7,12359,12359,0,0.8971399535423926,,,1.0
tcn_ae,9.0,0.8,11565,11565,0,0.8395034843205574,,,1.0
tcn_ae,9.0,0.9,9995,9995,0,0.7255371660859465,,,1.0
tcn_ae,12.0,0.1,11016,11016,0,0.9797225186766275,,,1.0
tcn_ae,12.0,0.2,10979,10979,0,0.9764318747776592,,,1.0
tcn_ae,12.0,0.3,10897,10897,0,0.9691390964069726,,,1.0
tcn_ae,12.0,0.4,10815,10815,0,0.9618463180362861,,,1.0
tcn_ae,12.0,0.5,10695,10695,0,0.9511739594450374,,,1.0
tcn_ae,12.0,0.6,10505,10505,0,0.9342760583422269,,,1.0
tcn_ae,12.0,0.7,10235,10235,0,0.9102632515119174,,,1.0
tcn_ae,12.0,0.8,9716,9716,0,0.864105300604767,,,1.0
tcn_ae,12.0,0.9,8672,8672,0,0.7712557808609036,,,1.0
